[2024-10-02T22:21:48.282+0300] {triggerer_job_runner.py:181} INFO - Setting up TriggererHandlerWrapper with handler <FileTaskHandler (NOTSET)>
[2024-10-02T22:21:48.284+0300] {triggerer_job_runner.py:237} INFO - Setting up logging queue listener with handlers [<RedirectStdHandler <stdout> (NOTSET)>, <NonCachingFileHandler /home/hamsterhom220/MLOps/Assign1/services/airflow/logs/triggerer.log (NOTSET)>, <TriggererHandlerWrapper (NOTSET)>]
[2024-10-02T22:21:48.294+0300] {triggerer_job_runner.py:338} INFO - Starting the triggerer
[2024-10-02T23:22:51.265+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:23:51.316+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:24:51.367+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:25:51.422+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:26:51.475+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:27:51.524+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:28:51.582+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:29:51.633+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:30:48.923+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.61 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-02T23:30:51.926+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:31:51.978+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:32:52.030+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:33:52.083+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:34:52.137+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:35:52.191+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:36:52.241+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:37:52.291+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:38:52.340+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:39:52.396+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
